,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Son,Pet,Body mass index,Absenteeism time in hours,Reason for absence_0,Reason for absence_1,Reason for absence_2,Seasons_1,Seasons_2,Seasons_3,Seasons_4
641,3,4,179,51,18,38,222.196,99,0,0,0,31,2,0,0,1,0,1,0,0
642,3,5,248,25,14,47,222.196,99,0,2,1,32,3,0,0,1,0,1,0,0
643,3,5,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,1,0,0
644,3,6,179,26,9,30,222.196,99,0,0,0,19,2,0,0,1,0,1,0,0
645,3,6,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,1,0,0
646,3,3,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,0,1,0
647,3,4,118,15,24,46,222.196,99,0,2,0,25,8,0,0,1,0,0,1,0
648,3,4,155,12,14,34,222.196,99,0,2,0,25,24,0,1,0,0,0,1,0
649,3,4,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,0,1,0
650,3,5,179,51,18,38,222.196,99,0,0,0,31,3,0,0,1,0,0,1,0
651,3,2,179,26,9,30,222.196,99,0,0,0,19,2,0,1,0,0,0,1,0
653,3,4,369,17,12,31,222.196,99,0,3,0,25,8,0,0,1,0,0,1,0
654,4,2,225,26,9,28,246.28799999999998,91,0,1,2,24,8,0,1,0,0,0,1,0
655,4,2,118,10,10,37,246.28799999999998,91,0,0,0,28,8,0,1,0,0,0,1,0
656,4,3,361,52,3,28,246.28799999999998,91,0,1,4,27,8,0,1,0,0,0,1,0
657,4,4,248,25,14,47,246.28799999999998,91,0,2,1,32,8,0,1,0,0,0,1,0
658,4,5,189,29,13,33,246.28799999999998,91,0,2,2,25,8,0,1,0,0,0,1,0
659,4,6,179,26,9,30,246.28799999999998,91,0,0,0,19,2,0,0,1,0,0,1,0
660,4,2,369,17,12,31,246.28799999999998,91,0,3,0,25,24,0,1,0,0,0,1,0
661,4,3,179,22,17,40,246.28799999999998,91,0,2,0,22,2,0,1,0,0,0,1,0
662,4,3,118,13,18,50,246.28799999999998,91,0,1,0,31,3,0,0,1,0,0,1,0
663,4,3,361,52,3,28,246.28799999999998,91,0,1,4,27,2,0,0,1,0,0,1,0
664,4,4,118,10,10,37,246.28799999999998,91,0,0,0,28,2,0,1,0,0,0,1,0
665,4,6,235,11,14,37,246.28799999999998,91,0,1,1,29,8,0,0,1,0,0,1,0
666,4,6,179,26,9,30,246.28799999999998,91,0,0,0,19,2,0,0,1,0,0,1,0
667,4,2,225,26,9,28,246.28799999999998,91,0,1,2,24,8,0,1,0,0,0,1,0
668,4,3,235,16,8,32,246.28799999999998,91,0,0,0,25,3,0,1,0,0,0,1,0
669,4,6,179,26,9,30,246.28799999999998,91,0,0,0,19,2,0,0,1,0,0,1,0
670,4,3,155,12,14,34,246.28799999999998,91,0,2,0,25,4,0,0,1,0,0,1,0
671,4,5,225,26,9,28,246.28799999999998,91,0,1,2,24,8,0,1,0,0,0,1,0
672,4,5,118,13,18,50,246.28799999999998,91,0,1,0,31,2,0,1,0,0,0,1,0
673,4,6,179,26,9,30,246.28799999999998,91,0,0,0,19,2,0,0,1,0,0,1,0
674,5,2,235,11,14,37,237.65599999999998,99,0,1,1,29,8,0,0,1,0,0,1,0
675,5,4,225,15,15,41,237.65599999999998,99,0,2,2,28,3,0,1,0,0,0,1,0
676,5,4,235,16,8,32,237.65599999999998,99,0,0,0,25,2,0,0,1,0,0,1,0
677,5,4,118,10,10,37,237.65599999999998,99,0,0,0,28,3,0,1,0,0,0,1,0
678,5,4,235,20,13,43,237.65599999999998,99,0,1,0,38,8,0,0,1,0,0,1,0
679,5,5,179,26,9,30,237.65599999999998,99,0,0,0,19,1,0,1,0,0,0,1,0
680,5,5,291,31,12,40,237.65599999999998,99,0,1,1,25,2,0,0,1,0,0,1,0
681,5,5,225,15,15,41,237.65599999999998,99,0,2,2,28,8,0,1,0,0,0,1,0
683,5,6,225,15,15,41,237.65599999999998,99,0,2,2,28,8,0,0,1,0,0,1,0
684,5,6,179,26,9,30,237.65599999999998,99,0,0,0,19,2,0,0,1,0,0,1,0
685,5,2,118,13,18,50,237.65599999999998,99,0,1,0,31,2,0,0,1,0,0,1,0
686,5,3,118,13,18,50,237.65599999999998,99,0,1,0,31,3,0,1,0,0,0,1,0
687,5,3,118,10,10,37,237.65599999999998,99,0,0,0,28,1,0,0,1,0,0,1,0
688,5,3,118,13,18,50,237.65599999999998,99,1,1,0,31,0,1,0,0,0,0,1,0
689,5,4,179,26,9,30,237.65599999999998,99,0,0,0,19,2,0,0,1,0,0,1,0
690,5,4,378,49,11,36,237.65599999999998,99,1,2,4,21,0,1,0,0,0,0,1,0
691,5,6,179,22,17,40,237.65599999999998,99,0,2,0,22,1,0,1,0,0,0,1,0
693,5,2,235,16,8,32,237.65599999999998,99,0,0,0,25,8,0,1,0,0,0,1,0
694,5,4,291,31,12,40,237.65599999999998,99,0,1,1,25,8,0,0,1,0,0,1,0
695,5,4,179,22,17,40,237.65599999999998,99,0,2,0,22,8,0,1,0,0,0,1,0
696,5,4,225,26,9,28,237.65599999999998,99,0,1,2,24,3,0,1,0,0,0,1,0
697,5,5,330,16,4,28,237.65599999999998,99,0,0,0,25,8,0,1,0,0,0,1,0
698,5,5,235,16,8,32,237.65599999999998,99,0,0,0,25,2,0,0,1,0,0,1,0
699,5,5,291,31,12,40,237.65599999999998,99,0,1,1,25,2,0,0,1,0,0,1,0
700,5,6,179,26,9,30,237.65599999999998,99,0,0,0,19,2,0,0,1,0,0,1,0
701,5,2,361,52,3,28,237.65599999999998,99,0,1,4,27,8,0,1,0,0,0,1,0
702,5,4,155,12,14,34,237.65599999999998,99,0,2,0,25,2,0,0,1,0,0,1,0
703,5,6,179,22,17,40,237.65599999999998,99,0,2,0,22,8,0,0,1,0,0,1,0
704,5,6,155,12,14,34,237.65599999999998,99,0,2,0,25,8,0,1,0,0,0,1,0
705,5,2,225,26,9,28,237.65599999999998,99,0,1,2,24,1,0,1,0,0,0,1,0
706,6,4,118,15,24,46,275.089,96,0,2,0,25,8,0,1,0,0,0,1,0
707,6,4,179,26,9,30,275.089,96,0,0,0,19,3,0,0,1,0,0,1,0
708,6,6,118,10,10,37,275.089,96,0,0,0,28,8,0,0,1,0,0,1,0
709,6,4,118,10,10,37,275.089,96,0,0,0,28,8,0,1,0,0,0,1,0
710,6,5,378,49,11,36,275.089,96,0,2,4,21,8,0,0,1,0,0,1,0
711,6,5,118,13,18,50,275.089,96,0,1,0,31,24,0,1,0,0,0,1,0
712,6,6,233,51,1,31,275.089,96,0,1,8,21,8,0,1,0,0,0,1,0
713,6,6,179,26,9,30,275.089,96,0,0,0,19,2,0,0,1,0,0,1,0
714,6,2,235,29,12,48,275.089,96,1,1,5,33,0,1,0,0,0,0,1,0
715,6,2,268,11,8,33,275.089,96,1,0,0,25,0,1,0,0,0,0,1,0
716,6,5,118,13,18,50,275.089,96,0,1,0,31,3,0,1,0,0,0,1,0
717,6,5,179,26,9,30,275.089,96,0,0,0,19,2,0,1,0,0,0,1,0
718,6,5,291,31,12,40,275.089,96,0,1,1,25,2,0,0,1,0,0,1,0
719,6,2,179,26,9,30,275.089,96,0,0,0,19,3,0,1,0,1,0,0,0
720,6,2,118,10,10,37,275.089,96,0,0,0,28,3,0,0,1,1,0,0,0
721,6,5,233,51,1,31,275.089,96,0,1,8,21,8,0,0,1,1,0,0,0
722,6,6,118,10,10,37,275.089,96,0,0,0,28,2,0,1,0,1,0,0,0
723,6,4,118,10,10,37,275.089,96,0,0,0,28,3,0,1,0,1,0,0,0
724,6,4,233,51,1,31,275.089,96,0,1,8,21,3,0,0,1,1,0,0,0
725,7,4,235,20,13,43,264.60400000000004,93,0,1,0,38,4,0,0,1,1,0,0,0
726,7,6,233,51,1,31,264.60400000000004,93,0,1,8,21,2,0,1,0,1,0,0,0
727,7,2,228,14,16,58,264.60400000000004,93,0,2,1,22,8,0,1,0,1,0,0,0
728,7,2,118,10,10,37,264.60400000000004,93,0,0,0,28,4,0,0,1,1,0,0,0
730,7,3,189,29,13,33,264.60400000000004,93,0,2,2,25,16,0,0,1,1,0,0,0
731,7,4,118,10,10,37,264.60400000000004,93,0,0,0,28,2,0,0,1,1,0,0,0
732,7,4,361,52,3,28,264.60400000000004,93,0,1,4,27,8,0,0,1,1,0,0,0
733,7,4,225,26,9,28,264.60400000000004,93,0,1,2,24,8,0,0,1,1,0,0,0
735,7,3,289,36,13,33,264.60400000000004,93,0,2,1,30,8,0,1,0,1,0,0,0
736,7,3,235,11,14,37,264.60400000000004,93,0,1,1,29,4,0,1,0,1,0,0,0
737,0,3,118,14,13,40,271.219,95,0,1,8,34,0,1,0,0,1,0,0,0
738,0,4,231,35,14,39,271.219,95,0,2,2,35,0,1,0,0,0,1,0,0
739,0,6,179,45,14,53,271.219,95,0,1,1,25,0,1,0,0,0,0,1,0
